    r     rho_a(r)         V(r)  F(rho_a(r))
3.318    0.0167091   -0.0569613   -0.0671119
3.312    0.0169992   -0.0578256   -0.0683006
3.306    0.0172947   -0.0586942   -0.0695123
  3.3    0.0175956    -0.059567   -0.0707475
3.294    0.0179019   -0.0604439   -0.0720065
3.288    0.0182138   -0.0613245   -0.0732898
3.282    0.0185313   -0.0622087   -0.0745977
3.276    0.0188545   -0.0630964   -0.0759308
 3.27    0.0191835   -0.0639874   -0.0772893
3.264    0.0195183   -0.0648815   -0.0786737
3.258     0.019859   -0.0657791   -0.0800841
3.252    0.0202054   -0.0666807   -0.0815208
3.246    0.0205577   -0.0675871   -0.0829835
 3.24    0.0209158   -0.0684988   -0.0844726
3.234    0.0212797   -0.0694164   -0.0859878
3.228    0.0216493   -0.0703406   -0.0875295
3.222    0.0220246   -0.0712721   -0.0890975
3.216    0.0224056   -0.0722114    -0.090692
 3.21    0.0227922   -0.0731592    -0.092313
3.204    0.0231846   -0.0741161   -0.0939607
3.198    0.0235825   -0.0750827   -0.0956351
3.192    0.0239861   -0.0760597   -0.0973363
3.186    0.0243953   -0.0770477   -0.0990644
 3.18      0.02481   -0.0780474    -0.100819
3.174    0.0252302   -0.0790593    -0.102602
3.168     0.025656    -0.080084    -0.104411
3.162    0.0260873   -0.0811223    -0.106248
3.156     0.026524   -0.0821748    -0.108112
 3.15    0.0269662    -0.083242    -0.110004
3.144    0.0274139   -0.0843246    -0.111924
3.138    0.0278669   -0.0854232    -0.113871
3.132    0.0283253   -0.0865385    -0.115847
3.126    0.0287891   -0.0876711    -0.117851
 3.12    0.0292582   -0.0888217    -0.119883
3.114    0.0297327   -0.0899908    -0.121943
3.108    0.0302124    -0.091179    -0.124033
3.102    0.0306974   -0.0923869    -0.126151
3.096    0.0311873   -0.0936143    -0.128297
 3.09    0.0316821   -0.0948613    -0.130471
3.084    0.0321815   -0.0961277    -0.132671
3.078    0.0326852   -0.0974135    -0.134898
3.072    0.0331932   -0.0987187     -0.13715
3.066     0.033705    -0.100043    -0.139427
 3.06    0.0342207    -0.101387    -0.141728
3.054    0.0347398     -0.10275    -0.144053
3.048    0.0352623    -0.104132      -0.1464
3.042    0.0357879    -0.105533    -0.148769
3.036    0.0363163    -0.106953     -0.15116
 3.03    0.0368475    -0.108391    -0.153572
3.024    0.0373811    -0.109849    -0.156004
3.018     0.037917    -0.111326    -0.158455
3.012    0.0384549    -0.112821    -0.160924
3.006    0.0389946    -0.114335    -0.163412
    3     0.039536    -0.115867    -0.165916
2.994    0.0400788    -0.117418    -0.168437
2.988    0.0406228    -0.118988    -0.170973
2.982    0.0411677    -0.120576    -0.173524
2.976    0.0417134    -0.122182    -0.176089
 2.97    0.0422597    -0.123807    -0.178667
2.964    0.0428064     -0.12545    -0.181257
2.958    0.0433531    -0.127111    -0.183859
2.952    0.0438998     -0.12879    -0.186471
2.946    0.0444462    -0.130487    -0.189093
 2.94    0.0449922    -0.132202    -0.191724
2.934    0.0455375    -0.133932    -0.194363
2.928    0.0460822    -0.135677     -0.19701
2.922     0.046626    -0.137436    -0.199665
2.916    0.0471688    -0.139207    -0.202326
 2.91    0.0477105     -0.14099    -0.204994
2.904    0.0482509    -0.142783    -0.207667
2.898    0.0487899    -0.144586    -0.210345
2.892    0.0493274    -0.146396    -0.213027
2.886    0.0498632    -0.148214    -0.215712
 2.88    0.0503972    -0.150037    -0.218401
2.874    0.0509292    -0.151865    -0.221091
2.868    0.0514591    -0.153696    -0.223783
2.862    0.0519868     -0.15553    -0.226475
2.856    0.0525122    -0.157365    -0.229166
 2.85     0.053035      -0.1592    -0.231855
2.844    0.0535552    -0.161034    -0.234542
2.838    0.0540726    -0.162866    -0.237226
2.832    0.0545871    -0.164694    -0.239905
2.826    0.0550986    -0.166519    -0.242578
 2.82    0.0556069    -0.168337    -0.245245
2.814    0.0561118    -0.170149    -0.247904
2.808    0.0566133    -0.171954    -0.250555
2.802    0.0571112    -0.173749    -0.253197
2.796    0.0576054    -0.175534    -0.255828
 2.79    0.0580956    -0.177308    -0.258448
2.784    0.0585819     -0.17907    -0.261055
2.778    0.0590641    -0.180818    -0.263649
2.772     0.059542    -0.182551    -0.266229
2.766    0.0600156    -0.184267    -0.268793
 2.76    0.0604847    -0.185966    -0.271342
2.754    0.0609492    -0.187646    -0.273873
2.748     0.061409    -0.189306    -0.276387
2.742     0.061864    -0.190945    -0.278882
2.736    0.0623141    -0.192561    -0.281357
 2.73    0.0627592    -0.194153    -0.283812
2.724    0.0631991    -0.195719    -0.286245
2.718    0.0636337    -0.197259    -0.288655
2.712    0.0640629    -0.198771    -0.291042
2.706    0.0644867    -0.200254    -0.293405
  2.7    0.0649048    -0.201706    -0.295742
2.694    0.0653171    -0.203127    -0.298053
2.688    0.0657237    -0.204514    -0.300337
2.682    0.0661242    -0.205867    -0.302593
2.676    0.0665187    -0.207185     -0.30482
 2.67     0.066907    -0.208465    -0.307017
2.664    0.0672889    -0.209707    -0.309183
2.658    0.0676645     -0.21091    -0.311318
2.652    0.0680334    -0.212072     -0.31342
2.646    0.0683958    -0.213192    -0.315488
 2.64    0.0687513    -0.214268    -0.317521
2.634       0.0691      -0.2153    -0.319519
2.628    0.0694417    -0.216286    -0.321481
2.622    0.0697762    -0.217224    -0.323405
2.616    0.0701036    -0.218113    -0.325292
 2.61    0.0704237    -0.218952     -0.32714
2.604    0.0707365    -0.219739    -0.328949
2.598    0.0710418    -0.220473    -0.330717
2.592    0.0713395    -0.221152    -0.332445
2.586    0.0716297    -0.221775    -0.334131
 2.58    0.0719121     -0.22234    -0.335774
2.574    0.0721867    -0.222846    -0.337374
2.568    0.0724534    -0.223291    -0.338931
2.562    0.0727121    -0.223674    -0.340443
2.556    0.0729627    -0.223993    -0.341909
 2.55    0.0732052    -0.224248     -0.34333
2.544    0.0734394    -0.224436    -0.344704
2.538    0.0736653    -0.224556    -0.346031
2.532    0.0738827    -0.224606    -0.347309
2.526    0.0740916    -0.224585    -0.348539
 2.52    0.0742919    -0.224493    -0.349719
2.514    0.0744835    -0.224326    -0.350849
2.508    0.0746663    -0.224084    -0.351928
2.502    0.0748403    -0.223765    -0.352956
2.496    0.0750052    -0.223368    -0.353931
 2.49    0.0751612    -0.222891    -0.354854
2.484    0.0753079    -0.222333    -0.355723
2.478    0.0754454    -0.221692    -0.356538
2.472    0.0755737    -0.220967    -0.357298
2.466    0.0756926     -0.22015    -0.358004
 2.46    0.0758024    -0.219231    -0.358656
2.454    0.0759032      -0.2182    -0.359255
2.448    0.0759953    -0.217044    -0.359802
2.442    0.0760786    -0.215753    -0.360297
2.436    0.0761534    -0.214315    -0.360742
 2.43    0.0762198    -0.212721    -0.361137
2.424     0.076278    -0.210959    -0.361484
2.418    0.0763281    -0.209017    -0.361782
2.412    0.0763703    -0.206886    -0.362033
2.406    0.0764047    -0.204553    -0.362238
  2.4    0.0764315    -0.202009    -0.362397
2.394    0.0764508    -0.199241    -0.362512
2.388    0.0764628    -0.196239    -0.362584
2.382    0.0764676    -0.192992    -0.362612
2.376    0.0764653     -0.18949    -0.362599
 2.37    0.0764562     -0.18572    -0.362544
2.364    0.0764403    -0.181672     -0.36245
2.358    0.0764179    -0.177335    -0.362316
2.352     0.076389    -0.172699    -0.362144
2.346    0.0763538    -0.167751    -0.361935
 2.34    0.0763125    -0.162481    -0.361689
2.334    0.0762652    -0.156878    -0.361407
2.328    0.0762121    -0.150932    -0.361091
2.322    0.0761533     -0.14463    -0.360741
2.316    0.0760889    -0.137963    -0.360358
 2.31    0.0760191    -0.130921    -0.359944
2.304     0.075944    -0.123499    -0.359497
2.298    0.0758637    -0.115696     -0.35902
2.292    0.0757782    -0.107507    -0.358512
2.286    0.0756876   -0.0989297    -0.357975
 2.28     0.075592   -0.0899604    -0.357407
2.274    0.0754914   -0.0805958    -0.356811
2.268     0.075386   -0.0708327    -0.356186
2.262    0.0752758    -0.060668    -0.355533
2.256    0.0751609   -0.0500983    -0.354853
 2.25    0.0750414   -0.0391203    -0.354145
2.244    0.0749173   -0.0277309    -0.353411
2.238    0.0747888   -0.0159266    -0.352652
2.232    0.0746558   -0.0037044    -0.351866
2.226    0.0745186   0.00893912    -0.351056
 2.22     0.074377    0.0220072    -0.350221
2.214    0.0742314     0.035503    -0.349362
2.208    0.0740816      0.04943     -0.34848
2.202    0.0739278    0.0637912    -0.347575
2.196    0.0737701    0.0785901    -0.346647
 2.19    0.0736085    0.0938297    -0.345697
2.184    0.0734432     0.109514    -0.344726
2.178    0.0732741     0.125645    -0.343734
2.172    0.0731014     0.142226    -0.342722
2.166    0.0729252     0.159262     -0.34169
 2.16    0.0727455     0.176755    -0.340638
2.154    0.0725624     0.194707    -0.339568
2.148     0.072376     0.213107    -0.338479
2.142    0.0721865     0.231937    -0.337373
2.136    0.0719939     0.251181    -0.336251
 2.13    0.0717984      0.27082    -0.335113
2.124    0.0716002     0.290838    -0.333959
2.118    0.0713994     0.311217    -0.332792
2.112     0.071196     0.331939    -0.331612
2.106    0.0709902     0.352987    -0.330418
  2.1    0.0707822     0.374343    -0.329214
2.094    0.0705721      0.39599    -0.327998
