    r     rho_a(r)         V(r)  F(rho_a(r))
3.708  0.000182341   0.00723188    -0.208621
3.702  0.000185369   0.00738898    -0.210831
3.696  0.000188444   0.00754948    -0.213064
 3.69  0.000191568   0.00771347    -0.215322
3.684  0.000194742   0.00788102    -0.217605
3.678  0.000197966    0.0080522    -0.219913
3.672   0.00020124    0.0082271    -0.222246
3.666  0.000204567   0.00840579    -0.224603
 3.66  0.000207945   0.00858836    -0.226986
3.654  0.000211377   0.00877489    -0.229394
3.648  0.000214864   0.00896546    -0.231828
3.642  0.000218404   0.00916017    -0.234287
3.636  0.000222001   0.00935911    -0.236771
 3.63  0.000225654   0.00956236    -0.239282
3.624  0.000229364   0.00977002    -0.241818
3.618  0.000233133   0.00998219     -0.24438
3.612   0.00023696     0.010199    -0.246969
3.606  0.000240848    0.0104204    -0.249583
  3.6  0.000244796    0.0106467    -0.252225
3.594  0.000248806    0.0108779    -0.254892
3.588  0.000252878    0.0111141    -0.257587
3.582  0.000257014    0.0113554    -0.260308
3.576  0.000261214     0.011602    -0.263056
 3.57   0.00026548    0.0118539    -0.265831
3.564  0.000269812    0.0121112    -0.268634
3.558  0.000274211    0.0123742    -0.271464
3.552  0.000278679    0.0126428    -0.274322
3.546  0.000283215    0.0129173    -0.277208
 3.54  0.000287822    0.0131978    -0.280122
3.534  0.000292501    0.0134843    -0.283064
3.528  0.000297252     0.013777    -0.286035
3.522  0.000302076    0.0140761    -0.289034
3.516  0.000306975    0.0143817    -0.292062
 3.51  0.000311949    0.0146938    -0.295118
3.504     0.000317    0.0150128    -0.298204
3.498  0.000322128    0.0153387    -0.301318
3.492  0.000327336    0.0156716    -0.304463
3.486  0.000332624    0.0160118    -0.307637
 3.48  0.000337992    0.0163593     -0.31084
3.474  0.000343444    0.0167144    -0.314074
3.468  0.000348978    0.0170772    -0.317339
3.462  0.000354598    0.0174479    -0.320634
3.456  0.000360303    0.0178265     -0.32396
 3.45  0.000366096    0.0182134    -0.327318
3.444  0.000371977    0.0186087    -0.330708
3.438  0.000377948    0.0190126    -0.334129
3.432   0.00038401    0.0194252    -0.337584
3.426  0.000390165    0.0198467    -0.341071
 3.42  0.000396413    0.0202774    -0.344592
3.414  0.000402756    0.0207175    -0.348147
3.408  0.000409195     0.021167    -0.351737
3.402  0.000415732    0.0216264    -0.355363
3.396  0.000422368    0.0220956    -0.359024
 3.39  0.000429105    0.0225751    -0.362721
3.384  0.000435944    0.0230649    -0.366455
3.378  0.000442886    0.0235654    -0.370225
3.372  0.000449933    0.0240767    -0.374032
3.366  0.000457087    0.0245991    -0.377876
 3.36  0.000464348    0.0251328    -0.381757
3.354  0.000471719    0.0256781    -0.385675
